,location,bhk,total_area,bath,balcony,price,price_per_sqft
0,1st Block Jayanagar,4,2850.0,4.0,1.0,2140000.0,750.8771929824561
1,1st Block Jayanagar,3,1630.0,3.0,2.0,970000.0,595.0920245398773
3,1st Block Jayanagar,3,1875.0,2.0,3.0,1175000.0,626.6666666666666
6,1st Block Jayanagar,3,1200.0,2.0,0.0,650000.0,541.6666666666666
7,1st Block Jayanagar,2,1235.0,2.0,2.0,740000.0,599.1902834008097
8,1st Block Jayanagar,4,2750.0,4.0,0.0,2065000.0,750.9090909090909
9,1st Block Jayanagar,4,2450.0,4.0,2.0,1840000.0,751.0204081632653
10,1st Phase JP Nagar,4,2825.0,4.0,3.0,1250000.0,442.4778761061947
11,1st Phase JP Nagar,3,1875.0,3.0,1.0,835000.0,445.3333333333333
12,1st Phase JP Nagar,5,1500.0,5.0,1.0,425000.0,283.3333333333333
13,1st Phase JP Nagar,3,2065.0,4.0,1.0,1050000.0,508.47457627118644
14,1st Phase JP Nagar,3,2024.0,3.0,1.0,785000.0,387.84584980237156
15,1st Phase JP Nagar,3,2059.0,3.0,2.0,1125000.0,546.3817387081108
16,1st Phase JP Nagar,2,1394.0,2.0,1.0,500000.0,358.6800573888092
17,1st Phase JP Nagar,2,1077.0,2.0,2.0,465000.0,431.7548746518106
18,1st Phase JP Nagar,2,1566.0,2.0,0.0,900000.0,574.7126436781609
19,1st Phase JP Nagar,1,840.0,2.0,2.0,250000.0,297.6190476190476
20,1st Phase JP Nagar,3,1590.0,3.0,3.0,655000.0,411.9496855345912
21,1st Phase JP Nagar,3,2180.0,3.0,2.0,1050000.0,481.651376146789
22,1st Phase JP Nagar,2,1180.0,2.0,2.0,442500.0,375.0
23,1st Phase JP Nagar,2,1200.0,2.0,1.0,430000.0,358.3333333333333
24,1st Phase JP Nagar,2,1394.0,2.0,2.0,425000.0,304.8780487804878
25,1st Phase JP Nagar,3,2077.0,3.0,3.0,875000.0,421.28069330765527
26,1st Phase JP Nagar,4,4550.0,2.0,1.0,1200000.0,263.7362637362637
27,1st Phase JP Nagar,2,1205.0,2.0,1.0,425000.0,352.6970954356847
28,1st Phase JP Nagar,4,2615.0,5.0,3.0,1110000.0,424.47418738049714
29,1st Phase JP Nagar,2,900.0,2.0,1.0,375000.0,416.6666666666667
30,2nd Phase Judicial Layout,3,1450.0,2.0,1.0,253750.0,175.0
31,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,201250.0,175.0
32,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,236250.0,175.0
33,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,236250.0,175.0
34,2nd Phase Judicial Layout,2,900.0,2.0,2.0,205000.0,227.77777777777777
35,2nd Phase Judicial Layout,3,1681.0,3.0,3.0,345000.0,205.23497917906008
36,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,236250.0,175.0
37,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,201250.0,175.0
38,2nd Stage Nagarbhavi,4,1500.0,4.0,2.0,1100000.0,733.3333333333334
39,2nd Stage Nagarbhavi,6,3000.0,8.0,3.0,2255000.0,751.6666666666666
40,2nd Stage Nagarbhavi,6,2400.0,8.0,3.0,2250000.0,937.5
41,2nd Stage Nagarbhavi,4,1200.0,4.0,2.0,1225000.0,1020.8333333333334
42,2nd Stage Nagarbhavi,4,1350.0,4.0,1.0,1000000.0,740.7407407407408
46,2nd Stage Nagarbhavi,4,1200.0,4.0,1.0,1125000.0,937.5
52,2nd Stage Nagarbhavi,4,1500.0,3.0,2.0,1150000.0,766.6666666666666
57,5th Block Hbr Layout,2,1206.0,2.0,2.0,280000.0,232.17247097844114
58,5th Block Hbr Layout,3,1270.0,2.0,2.0,350000.0,275.59055118110234
60,5th Block Hbr Layout,4,1200.0,4.0,2.0,1025000.0,854.1666666666666
61,5th Block Hbr Layout,2,1312.0,2.0,3.0,345000.0,262.9573170731707
63,5th Block Hbr Layout,6,5100.0,5.0,3.0,1500000.0,294.11764705882354
65,5th Phase JP Nagar,2,1075.0,2.0,2.0,300000.0,279.06976744186045
66,5th Phase JP Nagar,2,1150.0,3.0,3.0,262500.0,228.2608695652174
67,5th Phase JP Nagar,2,1070.0,2.0,2.0,195000.0,182.2429906542056
68,5th Phase JP Nagar,2,1256.0,2.0,1.0,314000.0,250.0
69,5th Phase JP Nagar,2,1207.0,2.0,2.0,315000.0,260.97763048881524
70,5th Phase JP Nagar,3,1725.0,2.0,2.0,500000.0,289.8550724637681
71,5th Phase JP Nagar,2,1440.0,2.0,2.0,300000.0,208.33333333333334
72,5th Phase JP Nagar,3,1400.0,2.0,1.0,440000.0,314.2857142857143
73,5th Phase JP Nagar,2,1450.0,2.0,1.0,290000.0,200.0
74,5th Phase JP Nagar,3,1700.0,2.0,3.0,500000.0,294.11764705882354
75,5th Phase JP Nagar,3,1485.0,2.0,2.0,335000.0,225.58922558922558
76,5th Phase JP Nagar,5,2500.0,5.0,1.0,550000.0,220.0
77,5th Phase JP Nagar,1,600.0,1.0,1.0,150000.0,250.0
78,5th Phase JP Nagar,2,1390.0,2.0,2.0,325000.0,233.81294964028777
79,5th Phase JP Nagar,2,1256.0,2.0,1.0,314000.0,250.0
80,5th Phase JP Nagar,2,1220.0,2.0,3.0,440000.0,360.655737704918
81,5th Phase JP Nagar,2,1000.0,2.0,0.0,240000.0,240.0
82,5th Phase JP Nagar,3,1350.0,2.0,1.0,375000.0,277.77777777777777
83,5th Phase JP Nagar,1,552.0,1.0,1.0,117500.0,212.86231884057972
84,5th Phase JP Nagar,2,1200.0,2.0,2.0,255000.0,212.5
85,5th Phase JP Nagar,3,1240.0,3.0,2.0,300000.0,241.93548387096774
86,5th Phase JP Nagar,3,1550.0,3.0,3.0,375000.0,241.93548387096774
87,5th Phase JP Nagar,3,1485.0,2.0,1.0,330000.0,222.22222222222223
88,5th Phase JP Nagar,2,1030.0,2.0,2.0,285000.0,276.6990291262136
89,5th Phase JP Nagar,2,1200.0,2.0,1.0,340000.0,283.3333333333333
90,5th Phase JP Nagar,2,1190.0,2.0,2.0,309000.0,259.66386554621846
91,5th Phase JP Nagar,5,4000.0,5.0,2.0,850000.0,212.5
92,5th Phase JP Nagar,2,1080.0,2.0,1.0,265000.0,245.37037037037038
93,5th Phase JP Nagar,2,1041.0,2.0,2.0,270000.0,259.3659942363112
94,5th Phase JP Nagar,2,812.0,2.0,1.0,210000.0,258.62068965517244
95,5th Phase JP Nagar,2,1010.0,2.0,2.0,285000.0,282.1782178217822
96,5th Phase JP Nagar,3,1450.0,2.0,2.0,365000.0,251.72413793103448
97,5th Phase JP Nagar,7,2500.0,8.0,3.0,475000.0,190.0
98,5th Phase JP Nagar,2,1075.0,2.0,2.0,300000.0,279.06976744186045
99,5th Phase JP Nagar,4,2400.0,4.0,1.0,1140000.0,475.0
100,6th Phase JP Nagar,2,1192.0,2.0,2.0,370000.0,310.4026845637584
101,6th Phase JP Nagar,2,1180.0,2.0,3.0,400000.0,338.9830508474576
102,6th Phase JP Nagar,4,3245.0,4.0,1.0,1250000.0,385.2080123266564
103,6th Phase JP Nagar,3,1645.0,3.0,3.0,500000.0,303.951367781155
104,6th Phase JP Nagar,2,1280.0,2.0,1.0,280000.0,218.75
105,6th Phase JP Nagar,2,1140.0,2.0,2.0,325000.0,285.0877192982456
107,6th Phase JP Nagar,3,2040.0,3.0,1.0,1000000.0,490.19607843137254
108,6th Phase JP Nagar,2,1213.0,2.0,1.0,315000.0,259.6867271228359
109,6th Phase JP Nagar,3,1350.0,2.0,1.0,290000.0,214.8148148148148
110,6th Phase JP Nagar,2,1170.0,2.0,2.0,600000.0,512.8205128205128
111,6th Phase JP Nagar,2,1216.0,2.0,2.0,300000.0,246.71052631578948
112,6th Phase JP Nagar,2,1460.0,2.0,1.0,400000.0,273.972602739726
113,6th Phase JP Nagar,3,2003.0,3.0,3.0,1000000.0,499.2511233150275
114,6th Phase JP Nagar,3,1810.0,3.0,3.0,655000.0,361.878453038674
115,6th Phase JP Nagar,3,1515.0,2.0,2.0,675000.0,445.54455445544556
116,6th Phase JP Nagar,2,1192.0,2.0,3.0,375000.0,314.5973154362416
117,6th Phase JP Nagar,2,1280.0,2.0,1.0,440000.0,343.75
118,7th Phase JP Nagar,2,1080.0,2.0,2.0,360000.0,333.3333333333333
119,7th Phase JP Nagar,2,1270.0,2.0,2.0,465000.0,366.1417322834646
120,7th Phase JP Nagar,3,1420.0,2.0,1.0,500000.0,352.11267605633805
121,7th Phase JP Nagar,3,1850.0,3.0,1.0,750000.0,405.4054054054054
122,7th Phase JP Nagar,2,1245.0,2.0,1.0,470000.0,377.5100401606426
123,7th Phase JP Nagar,2,1175.0,2.0,1.0,410000.0,348.93617021276594
124,7th Phase JP Nagar,3,1400.0,2.0,1.0,475000.0,339.2857142857143
125,7th Phase JP Nagar,3,2225.0,3.0,1.0,800000.0,359.55056179775283
126,7th Phase JP Nagar,2,1050.0,2.0,1.0,355000.0,338.0952380952381
127,7th Phase JP Nagar,2,1100.0,2.0,0.0,230000.0,209.0909090909091
128,7th Phase JP Nagar,2,918.0,2.0,1.0,252450.0,275.0
129,7th Phase JP Nagar,3,1450.0,2.0,1.0,500000.0,344.82758620689657
130,7th Phase JP Nagar,2,1070.0,2.0,1.0,213950.0,199.9532710280374
131,7th Phase JP Nagar,2,1190.0,2.0,1.0,249899.99999999997,209.99999999999997
132,7th Phase JP Nagar,3,1420.0,2.0,2.0,480000.0,338.0281690140845
133,7th Phase JP Nagar,3,1680.0,3.0,2.0,600000.0,357.14285714285717
134,7th Phase JP Nagar,2,1050.0,2.0,1.0,210000.0,200.0
135,7th Phase JP Nagar,2,980.0,2.0,2.0,345000.0,352.0408163265306
136,7th Phase JP Nagar,2,1035.0,2.0,1.0,206950.0,199.95169082125605
137,7th Phase JP Nagar,2,1370.0,2.0,1.0,280850.0,205.0
138,7th Phase JP Nagar,2,1180.0,2.0,2.0,360000.0,305.08474576271186
139,7th Phase JP Nagar,6,5080.0,7.0,1.0,2250000.0,442.9133858267717
140,7th Phase JP Nagar,3,1300.0,2.0,2.0,260000.0,200.0
141,7th Phase JP Nagar,3,1050.0,2.0,1.0,285000.0,271.42857142857144
142,7th Phase JP Nagar,3,1343.0,2.0,2.0,282050.0,210.01489203276248
143,7th Phase JP Nagar,3,1405.0,2.0,2.0,295050.0,210.0
144,7th Phase JP Nagar,3,1400.0,3.0,1.0,575000.0,410.7142857142857
145,7th Phase JP Nagar,2,1075.0,2.0,1.0,214950.0,199.95348837209303
146,7th Phase JP Nagar,2,1100.0,2.0,2.0,220000.0,200.0
147,7th Phase JP Nagar,2,1270.0,2.0,1.0,415000.0,326.7716535433071
148,7th Phase JP Nagar,4,3300.0,4.0,0.0,750000.0,227.27272727272728
149,7th Phase JP Nagar,4,2503.0,4.0,0.0,940000.0,375.5493407910507
150,7th Phase JP Nagar,3,2200.0,3.0,2.0,950000.0,431.8181818181818
151,7th Phase JP Nagar,3,1250.0,3.0,2.0,325000.0,260.0
152,7th Phase JP Nagar,2,1050.0,2.0,1.0,210000.0,200.0
153,7th Phase JP Nagar,3,1385.0,2.0,2.0,290850.0,210.0
154,7th Phase JP Nagar,3,1575.0,2.0,2.0,550000.0,349.2063492063492
155,7th Phase JP Nagar,3,1850.0,3.0,2.0,700000.0,378.3783783783784
156,7th Phase JP Nagar,3,1370.0,2.0,2.0,273950.0,199.96350364963504
